Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,S1_0 Area,S1_075 Area,S1_150 Area,S1_225 Area,S1_3 Area,S1_375 Area,S1_450 Area,S1_525 Area,S1_6 Area,S1_620 Area,S1_0 Area (top-3 peptides),S1_075 Area (top-3 peptides),S1_150 Area (top-3 peptides),S1_225 Area (top-3 peptides),S1_3 Area (top-3 peptides),S1_375 Area (top-3 peptides),S1_450 Area (top-3 peptides),S1_525 Area (top-3 peptides),S1_6 Area (top-3 peptides),S1_620 Area (top-3 peptides),Sample Profile (Ratio),0 Area,075 Area,150 Area,225 Area,3 Area,375 Area,450 Area,525 Area,6 Area,620 Area,0 Area (top-3 peptides),075 Area (top-3 peptides),150 Area (top-3 peptides),225 Area (top-3 peptides),3 Area (top-3 peptides),375 Area (top-3 peptides),450 Area (top-3 peptides),525 Area (top-3 peptides),6 Area (top-3 peptides),620 Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
38,65,P02652|APOA2_HUMAN,146.54,69,13,13,Carbamidomethylation; Oxidation (M); Iodination; Di-Iodination,3.3666E5,3.3269E5,2.5244E5,3.0562E5,4.4233E5,5.9279E5,6.8773E5,6.7147E5,6.7039E5,7.238E5,2.0556E5,1.9705E5,1.3516E5,1.6056E5,2.8408E5,3.8177E5,3.882E5,3.9617E5,3.7492E5,4.0557E5,1.00:0.96:0.66:0.78:1.38:1.86:1.89:1.93:1.82:1.97,3.3666E5,3.3269E5,2.5244E5,3.0562E5,4.4233E5,5.9279E5,6.8773E5,6.7147E5,6.7039E5,7.238E5,2.0556E5,1.9705E5,1.3516E5,1.6056E5,2.8408E5,3.8177E5,3.882E5,3.9617E5,3.7492E5,4.0557E5,1.00:0.96:0.66:0.78:1.38:1.86:1.89:1.93:1.82:1.97,11175,Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1
13,15,P04114|APOB_HUMAN,115.07,25,84,84,Carbamidomethylation; Oxidation (M); Iodination; Sulphone; Di-Iodination; Sulfenic Acid on Cysteine,3.1936E5,4.0509E5,2.7998E5,3.2614E5,4.6547E5,5.0889E5,4.7631E5,5.2936E5,4.2138E5,5.0961E5,1.0268E5,1.1085E5,6.6111E4,7.8107E4,1.3503E5,1.5151E5,1.2275E5,1.7381E5,1.1195E5,1.647E5,1.00:1.08:0.64:0.76:1.32:1.48:1.20:1.69:1.09:1.60,3.1936E5,4.0509E5,2.7998E5,3.2614E5,4.6547E5,5.0889E5,4.7631E5,5.2936E5,4.2138E5,5.0961E5,1.0268E5,1.1085E5,6.6111E4,7.8107E4,1.3503E5,1.5151E5,1.2275E5,1.7381E5,1.1195E5,1.647E5,1.00:1.08:0.64:0.76:1.32:1.48:1.20:1.69:1.09:1.60,515611,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2
5,14,P0DOX5|IGG1_HUMAN,106.17,58,35,12,Carbamidomethylation; Oxidation (M); Iodination; Sulfonic acid on Cysteine; Iodination-W; Di-Iodination,2.7579E6,3.7587E6,2.9746E6,3.5216E6,3.9802E6,4.2328E6,4.0372E6,4.5739E6,4.1028E6,4.4323E6,1.4925E6,1.8194E6,1.3679E6,1.7713E6,2.7556E6,3.1463E6,2.7754E6,3.4526E6,3.0006E6,3.3113E6,1.00:1.22:0.92:1.19:1.85:2.11:1.86:2.31:2.01:2.22,2.7579E6,3.7587E6,2.9746E6,3.5216E6,3.9802E6,4.2328E6,4.0372E6,4.5739E6,4.1028E6,4.4323E6,1.4925E6,1.8194E6,1.3679E6,1.7713E6,2.7556E6,3.1463E6,2.7754E6,3.4526E6,3.0006E6,3.3113E6,1.00:1.22:0.92:1.19:1.85:2.11:1.86:2.31:2.01:2.22,49329,Immunoglobulin gamma-1 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2
21,9,P06727|APOA4_HUMAN,98.35,74,27,27,Iodination; Di-Iodination,1.2894E5,1.5452E5,1.3107E5,1.8225E5,2.4335E5,2.8847E5,2.9649E5,2.8396E5,2.7448E5,2.9406E5,2.5595E4,3.2929E4,2.7327E4,4.4637E4,7.4662E4,8.8436E4,9.1147E4,9.0659E4,8.6708E4,9.1958E4,1.00:1.29:1.07:1.74:2.92:3.46:3.56:3.54:3.39:3.59,1.2894E5,1.5452E5,1.3107E5,1.8225E5,2.4335E5,2.8847E5,2.9649E5,2.8396E5,2.7448E5,2.9406E5,2.5595E4,3.2929E4,2.7327E4,4.4637E4,7.4662E4,8.8436E4,9.1147E4,9.0659E4,8.6708E4,9.1958E4,1.00:1.29:1.07:1.74:2.92:3.46:3.56:3.54:3.39:3.59,45372,Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=4
30,28,P06396|GELS_HUMAN,98.21,39,20,20,Carbamidomethylation; Iodination; Di-Iodination,7.8183E4,1.1061E5,8.1112E4,9.692E4,1.2889E5,1.4687E5,1.5817E5,1.572E5,1.4783E5,1.7213E5,1.8606E4,3.2619E4,2.6823E4,3.3927E4,4.3233E4,4.8444E4,5.4504E4,5.1817E4,5.0333E4,5.7058E4,1.00:1.75:1.44:1.82:2.32:2.60:2.93:2.78:2.71:3.07,7.8183E4,1.1061E5,8.1112E4,9.692E4,1.2889E5,1.4687E5,1.5817E5,1.572E5,1.4783E5,1.7213E5,1.8606E4,3.2619E4,2.6823E4,3.3927E4,4.3233E4,4.8444E4,5.4504E4,5.1817E4,5.0333E4,5.7058E4,1.00:1.75:1.44:1.82:2.32:2.60:2.93:2.78:2.71:3.07,85697,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1
55,45,P05155|IC1_HUMAN,87.77,23,10,10,Carbamidomethylation,4.2366E4,1.2329E5,9.3674E4,9.8409E4,7.0899E4,8.2887E4,1.3438E5,1.3636E5,1.2329E5,1.3874E5,2.5297E4,9.9573E4,7.5612E4,8.0743E4,4.7186E4,5.4933E4,1.0689E5,1.0774E5,9.6959E4,1.1044E5,1.00:3.94:2.99:3.19:1.87:2.17:4.23:4.26:3.83:4.37,4.2366E4,1.2329E5,9.3674E4,9.8409E4,7.0899E4,8.2887E4,1.3438E5,1.3636E5,1.2329E5,1.3874E5,2.5297E4,9.9573E4,7.5612E4,8.0743E4,4.7186E4,5.4933E4,1.0689E5,1.0774E5,9.6959E4,1.1044E5,1.00:3.94:2.99:3.19:1.87:2.17:4.23:4.26:3.83:4.37,55154,Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2
16,12,P01871|IGHM_HUMAN,79.35,55,23,6,Carbamidomethylation; Pyro-glu from Q; Iodination; Di-Iodination,1.7674E5,2.2365E5,2.0418E5,2.3208E5,2.4311E5,2.2335E5,2.1693E5,2.0716E5,2.064E5,2.0878E5,7.4467E4,1.286E5,1.0885E5,1.3638E5,1.6423E5,1.4672E5,1.4721E5,1.366E5,1.4708E5,1.4645E5,1.00:1.73:1.46:1.83:2.21:1.97:1.98:1.83:1.98:1.97,1.7674E5,2.2365E5,2.0418E5,2.3208E5,2.4311E5,2.2335E5,2.1693E5,2.0716E5,2.064E5,2.0878E5,7.4467E4,1.286E5,1.0885E5,1.3638E5,1.6423E5,1.4672E5,1.4721E5,1.366E5,1.4708E5,1.4645E5,1.00:1.73:1.46:1.83:2.21:1.97:1.98:1.83:1.98:1.97,49440,Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=4
14,13,P02647|APOA1_HUMAN,78.23,84,39,39,Oxidation (M); Pyro-glu from Q; Iodination; Di-Iodination,1.4967E6,1.9574E6,1.5435E6,2.0635E6,2.651E6,3.1519E6,3.784E6,3.485E6,3.4075E6,3.5812E6,4.8612E5,6.1674E5,4.6246E5,5.841E5,8.2098E5,9.2381E5,1.0137E6,9.5985E5,9.0838E5,1.0001E6,1.00:1.27:0.95:1.20:1.69:1.90:2.09:1.97:1.87:2.06,1.4967E6,1.9574E6,1.5435E6,2.0635E6,2.651E6,3.1519E6,3.784E6,3.485E6,3.4075E6,3.5812E6,4.8612E5,6.1674E5,4.6246E5,5.841E5,8.2098E5,9.2381E5,1.0137E6,9.5985E5,9.0838E5,1.0001E6,1.00:1.27:0.95:1.20:1.69:1.90:2.09:1.97:1.87:2.06,30778,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1
49,37,P04003|C4BPA_HUMAN,72.21,20,9,9,Carbamidomethylation; Iodination; Sulfonic acid on Cysteine,9.9198E4,1.2632E5,7.496E4,7.4153E4,2.465E5,2.8199E5,2.3094E5,2.2845E5,1.3422E5,2.566E5,7.7573E4,9.7424E4,4.9654E4,4.3554E4,2.1057E5,2.4208E5,1.9224E5,1.89E5,9.8899E4,2.2203E5,1.00:1.26:0.64:0.56:2.71:3.12:2.48:2.44:1.27:2.86,9.9198E4,1.2632E5,7.496E4,7.4153E4,2.465E5,2.8199E5,2.3094E5,2.2845E5,1.3422E5,2.566E5,7.7573E4,9.7424E4,4.9654E4,4.3554E4,2.1057E5,2.4208E5,1.9224E5,1.89E5,9.8899E4,2.2203E5,1.00:1.26:0.64:0.56:2.71:3.12:2.48:2.44:1.27:2.86,67033,C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2
18,16,P02790|HEMO_HUMAN,69.43,60,22,22,Carbamidomethylation; Pyro-glu from Q; Iodination,3.7474E5,4.924E5,3.6865E5,4.2992E5,5.343E5,6.1482E5,5.906E5,6.0816E5,5.4868E5,5.8279E5,1.2948E5,1.6737E5,1.2953E5,1.6558E5,2.3054E5,2.6267E5,2.4078E5,2.7007E5,2.3314E5,2.4959E5,1.00:1.29:1.00:1.28:1.78:2.03:1.86:2.09:1.80:1.93,3.7474E5,4.924E5,3.6865E5,4.2992E5,5.343E5,6.1482E5,5.906E5,6.0816E5,5.4868E5,5.8279E5,1.2948E5,1.6737E5,1.2953E5,1.6558E5,2.3054E5,2.6267E5,2.4078E5,2.7007E5,2.3314E5,2.4959E5,1.00:1.29:1.00:1.28:1.78:2.03:1.86:2.09:1.80:1.93,51676,Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2
