Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,s3_0 Area,s3_075 Area,s3_150 Area,s3_225 Area,s3_3 Area,s3_375 Area,s3_450 Area,s3_525 Area,s3_6 Area,s3_620 Area,s3_0 Area (top-3 peptides),s3_075 Area (top-3 peptides),s3_150 Area (top-3 peptides),s3_225 Area (top-3 peptides),s3_3 Area (top-3 peptides),s3_375 Area (top-3 peptides),s3_450 Area (top-3 peptides),s3_525 Area (top-3 peptides),s3_6 Area (top-3 peptides),s3_620 Area (top-3 peptides),Sample Profile (Ratio),0 Area,075 Area,150 Area,225 Area,3 Area,375 Area,450 Area,525 Area,6 Area,620 Area,0 Area (top-3 peptides),075 Area (top-3 peptides),150 Area (top-3 peptides),225 Area (top-3 peptides),3 Area (top-3 peptides),375 Area (top-3 peptides),450 Area (top-3 peptides),525 Area (top-3 peptides),6 Area (top-3 peptides),620 Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
27,65,P02652|APOA2_HUMAN,120.12,72,15,15,Carbamidomethylation; Oxidation (M); Pyro-glu from Q; Iodination; Di-Iodination,4.2818E5,2.8905E5,2.7077E5,3.2484E5,4.23E5,5.0968E5,5.3753E5,5.5079E5,6.5299E5,6.6175E5,2.542E5,1.4247E5,1.2638E5,1.7167E5,2.3354E5,3.3978E5,2.452E5,2.6484E5,3.0552E5,2.9295E5,1.00:0.56:0.50:0.68:0.92:1.34:0.96:1.04:1.20:1.15,4.2818E5,2.8905E5,2.7077E5,3.2484E5,4.23E5,5.0968E5,5.3753E5,5.5079E5,6.5299E5,6.6175E5,2.542E5,1.4247E5,1.2638E5,1.7167E5,2.3354E5,3.3978E5,2.452E5,2.6484E5,3.0552E5,2.9295E5,1.00:0.56:0.50:0.68:0.92:1.34:0.96:1.04:1.20:1.15,11175,Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1
54,50,P02763|A1AG1_HUMAN,94.95,45,10,7,Carbamidomethylation; Iodination; Di-Iodination,8.167E4,4.8375E4,6.313E4,6.645E4,5.1579E4,3.1949E4,4.3149E4,3.8934E4,5.9564E4,5.5884E4,5.6006E4,2.9473E4,3.2044E4,4.1923E4,2.7643E4,1.7781E4,1.0533E4,1.1208E4,1.6332E4,1.3974E4,1.00:0.53:0.57:0.75:0.49:0.32:0.19:0.20:0.29:0.25,8.167E4,4.8375E4,6.313E4,6.645E4,5.1579E4,3.1949E4,4.3149E4,3.8934E4,5.9564E4,5.5884E4,5.6006E4,2.9473E4,3.2044E4,4.1923E4,2.7643E4,1.7781E4,1.0533E4,1.1208E4,1.6332E4,1.3974E4,1.00:0.53:0.57:0.75:0.49:0.32:0.19:0.20:0.29:0.25,23512,Alpha-1-acid glycoprotein 1 OS=Homo sapiens OX=9606 GN=ORM1 PE=1 SV=1
2,6,P02787|TRFE_HUMAN,77.67,81,72,71,Carbamidomethylation; Oxidation (M); Iodination; Di-Iodination,4.2796E6,3.6545E6,3.7845E6,3.9432E6,3.8827E6,3.3947E6,3.4564E6,3.2962E6,3.4088E6,3.5512E6,7.7933E5,7.9591E5,8.1908E5,8.4248E5,7.9416E5,3.8554E5,6.2634E5,5.7432E5,6.0692E5,6.5632E5,1.00:1.02:1.05:1.08:1.02:0.49:0.80:0.74:0.78:0.84,4.2796E6,3.6545E6,3.7845E6,3.9432E6,3.8827E6,3.3947E6,3.4564E6,3.2962E6,3.4088E6,3.5512E6,7.7933E5,7.9591E5,8.1908E5,8.4248E5,7.9416E5,3.8554E5,6.2634E5,5.7432E5,6.0692E5,6.5632E5,1.00:1.02:1.05:1.08:1.02:0.49:0.80:0.74:0.78:0.84,77064,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3
8,11,P04114|APOB_HUMAN,71.67,24,86,86,Carbamidomethylation; Oxidation (M); Pyro-glu from Q; Iodination; Di-Iodination,4.711E5,3.3398E5,2.8364E5,2.8284E6,3.8695E5,5.3314E5,2.9637E5,3.5208E5,3.6499E5,2.9406E6,1.1477E5,6.2104E4,5.107E4,2.5184E6,5.7896E4,1.8916E5,1.9347E4,6.4047E4,5.3404E4,2.6352E6,1.00:0.54:0.44:21.94:0.50:1.65:0.17:0.56:0.47:22.96,4.711E5,3.3398E5,2.8364E5,2.8284E6,3.8695E5,5.3314E5,2.9637E5,3.5208E5,3.6499E5,2.9406E6,1.1477E5,6.2104E4,5.107E4,2.5184E6,5.7896E4,1.8916E5,1.9347E4,6.4047E4,5.3404E4,2.6352E6,1.00:0.54:0.44:21.94:0.50:1.65:0.17:0.56:0.47:22.96,515611,Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2
5,9,P0DOX5|IGG1_HUMAN,68.27,60,38,12,Carbamidomethylation; Oxidation (M); Iodination; Sulfonic acid on Cysteine; Di-Iodination,3.8307E6,3.3784E6,3.4541E6,3.6645E6,3.8081E6,3.8137E6,3.6432E6,3.7855E6,3.9215E6,4.0313E6,1.968E6,1.391E6,1.5658E6,1.9166E6,2.2751E6,2.8817E6,2.2117E6,2.423E6,2.5154E6,2.5748E6,1.00:0.71:0.80:0.97:1.16:1.46:1.12:1.23:1.28:1.31,3.8307E6,3.3784E6,3.4541E6,3.6645E6,3.8081E6,3.8137E6,3.6432E6,3.7855E6,3.9215E6,4.0313E6,1.968E6,1.391E6,1.5658E6,1.9166E6,2.2751E6,2.8817E6,2.2117E6,2.423E6,2.5154E6,2.5748E6,1.00:0.71:0.80:0.97:1.16:1.46:1.12:1.23:1.28:1.31,49329,Immunoglobulin gamma-1 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2
93,76,P02748|CO9_HUMAN,63.26,8,4,4,Carbamidomethylation,5.3096E3,1.1896E4,2.1133E3,1.7373E3,2.207E3,2.8941E3,3.5956E3,3.5128E3,3.9664E3,4.1799E3,2.9203E3,9.8526E3,2.1133E3,1.6239E3,2.207E3,2.66E3,3.5956E3,3.5128E3,3.9664E3,4.1799E3,1.00:3.37:0.72:0.56:0.76:0.91:1.23:1.20:1.36:1.43,5.3096E3,1.1896E4,2.1133E3,1.7373E3,2.207E3,2.8941E3,3.5956E3,3.5128E3,3.9664E3,4.1799E3,2.9203E3,9.8526E3,2.1133E3,1.6239E3,2.207E3,2.66E3,3.5956E3,3.5128E3,3.9664E3,4.1799E3,1.00:3.37:0.72:0.56:0.76:0.91:1.23:1.20:1.36:1.43,63173,Complement component C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=2
18,64,P02766|TTHY_HUMAN,59.61,80,14,14,Iodination; Sulfonic acid on Cysteine,6.4424E5,5.202E5,5.163E5,5.7121E5,5.4478E5,4.4827E5,4.9031E5,4.5154E5,5.3413E5,5.5769E5,3.443E5,2.3848E5,2.1271E5,2.8687E5,2.6858E5,2.8034E5,1.7518E5,1.7632E5,2.0662E5,1.9651E5,1.00:0.69:0.62:0.83:0.78:0.81:0.51:0.51:0.60:0.57,6.4424E5,5.202E5,5.163E5,5.7121E5,5.4478E5,4.4827E5,4.9031E5,4.5154E5,5.3413E5,5.5769E5,3.443E5,2.3848E5,2.1271E5,2.8687E5,2.6858E5,2.8034E5,1.7518E5,1.7632E5,2.0662E5,1.9651E5,1.00:0.69:0.62:0.83:0.78:0.81:0.51:0.51:0.60:0.57,15887,Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1
69,70,P02654|APOC1_HUMAN,55.25,49,8,8,Oxidation (M),4.7574E4,3.6951E4,4.5877E4,4.6458E4,6.804E4,8.4614E4,6.1652E4,6.0955E4,8.5959E4,7.7367E4,3.2708E4,2.5633E4,3.0234E4,3.8187E4,5.6018E4,7.1161E4,4.3223E4,4.3424E4,6.1658E4,5.3279E4,1.00:0.78:0.92:1.17:1.71:2.18:1.32:1.33:1.89:1.63,4.7574E4,3.6951E4,4.5877E4,4.6458E4,6.804E4,8.4614E4,6.1652E4,6.0955E4,8.5959E4,7.7367E4,3.2708E4,2.5633E4,3.0234E4,3.8187E4,5.6018E4,7.1161E4,4.3223E4,4.3424E4,6.1658E4,5.3279E4,1.00:0.78:0.92:1.17:1.71:2.18:1.32:1.33:1.89:1.63,9332,Apolipoprotein C-I OS=Homo sapiens OX=9606 GN=APOC1 PE=1 SV=1
31,28,P08603|CFAH_HUMAN,51.23,27,26,26,Carbamidomethylation; Oxidation (M); Iodination; Di-Iodination,1.1701E5,1.0725E5,1.0664E5,1.4257E5,1.5763E5,1.3501E5,1.9409E5,1.7438E5,1.8815E5,1.9211E5,3.4968E4,2.9022E4,2.9333E4,6.4274E4,7.671E4,5.7324E4,1.1219E5,1.0034E5,1.0294E5,1.0669E5,1.00:0.83:0.84:1.84:2.19:1.64:3.21:2.87:2.94:3.05,1.1701E5,1.0725E5,1.0664E5,1.4257E5,1.5763E5,1.3501E5,1.9409E5,1.7438E5,1.8815E5,1.9211E5,3.4968E4,2.9022E4,2.9333E4,6.4274E4,7.671E4,5.7324E4,1.1219E5,1.0034E5,1.0294E5,1.0669E5,1.00:0.83:0.84:1.84:2.19:1.64:3.21:2.87:2.94:3.05,139096,Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4
12,16,P02647|APOA1_HUMAN,44.68,85,42,42,Oxidation (M); Pyro-glu from Q; Iodination; Sulphone; Di-Iodination,2.4172E6,1.8454E6,1.8043E6,2.4026E6,2.8877E6,2.8477E6,3.1293E6,3.3169E6,3.7743E6,3.749E6,6.8358E5,5.2794E5,4.7601E5,6.8601E5,8.1121E5,8.4557E5,7.8058E5,8.165E5,8.7115E5,8.5977E5,1.00:0.77:0.70:1.00:1.19:1.24:1.14:1.19:1.27:1.26,2.4172E6,1.8454E6,1.8043E6,2.4026E6,2.8877E6,2.8477E6,3.1293E6,3.3169E6,3.7743E6,3.749E6,6.8358E5,5.2794E5,4.7601E5,6.8601E5,8.1121E5,8.4557E5,7.8058E5,8.165E5,8.7115E5,8.5977E5,1.00:0.77:0.70:1.00:1.19:1.24:1.14:1.19:1.27:1.26,30778,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1
